#,1492
��,1143
daihyo,656
�,641
",",627
_,327
日本,172
て,159
WorldCup,155
コロンビア,148
ぁ,138
の,134
に,130
が,128
、,121
で,112
2018,108
ワールドカ,108
。,103
な,103
と,102
た,97
は,96
代表,94
か,93
JPN,85
も,78
点,76
あ,76
W,69
杯,68
…,67
を,64
���,62
1,60
え,59
ん,57
し,54
・,54
JPNPOL,54
セネガル,53
POL,52
槙,52
よ,51
ー,49
ポ,46
　#,44
ロシア,42
先制,41
/,40
https,39
://,39
t,39
.,39
co,39
なぁ,38
worldcup,35
から,35
fujitv,34
め,33
サヂ,31
jfa,31
だ,31
　,30
����,30
まま,28
ああ,28
き,27
こ,27
てる,27
フェアプレー,25
？,25
SAMURAIBLUE,24
0,24
ランド,24
追,24
",#",24
長谷部,24
_#,23
2,23
差,23
け,23
イエロー,23
っ,23
って,23
これ,22
する,21
試合,21
もう,20
ラン,20
ど,20
たら,19
ね,19
ポイント,18
位,18
決勝,18
さん,18
西野,18
-,17
ち,17
ま,17
なっ,16
この,16
入れ,16
Rusia,15
なら,15
枚,15
ぼ,15
戦,14
(,14
！,14
なあ,14
けど,14
くれ,13
一,13
や,13
＼,13
る,13
こと,13
良,13
でも,13
カード,13
ら,12
🇯🇵,12
刁,12
Worldcup,12
本田,12
思っ,12
交代,12
ば,12
3,12
同点,12
さ,12
パス,12
選手,12
vs,11
取っ,11
なる,11
ぞ,11
進出,11
w,11
勝ち,11
香川,11
じゃ,11
おお,11
8,10
),10
】,10
🇵🇱,10
お,10
目,10
ω,10
WorldCupRussia,10
トーナメント,10
ねえ,10
く,9
他力本願,9
後半,9
得失点,9
こう,9
jpn,9
ダメ,9
今日,9
ほ,9
COL,9
samuraiblue,9
ねー,9
無,9
早く,9
行け,9
人,9
10,9
ええ,8
🇨🇴,8
もっと,8
ーランド,8
勝つ,8
応援,8
なく,8
とか,8
展開,8
力,8
方,8
回し,8
武藤,8
wc,8
山口,8
欲しい,8
あっ,8
オウンゴール,8
川島,8
得点,7
イエローカード,7
とにかく,7
れ,7
ある,7
まで,7
ロシアワールドカ,7
可能,7
性,7
぀�,7
中,7
同じ,7
制,7
制し,7
状況,7
高徳,7
う,7
H,7
何,7
あと,7
おい,7
せ,7
今,7
取ら,7
もらっ,7
じ,7
足,7
ぶ,7
蛍,7
まき,7
誰,6
自力,6
突,6
ここ,6
Д,6
なん,6
たん,6
絶対,6
FIFA,6
6,6
ありがと,6
攻,6
さっき,6
決め,6
㮼,6
SEN,6
む,6
7,6
通過,6
い,6
れる,6
F,6
気,6
夢,6
たい,6
取ろ,6
最後,6
グループ,6
失点,6
おいおい,6
pol,6
止まっ,6
ボ,6
ル,6
疲れ,6
4,6
敗退,6
オウン,6
計算,5
速,5
30,5
【,5
取れ,5
数,5
やめ,5
より,5
くる,5
なんて,5
;),5
しか,5
出,5
Russia,5
前,5
JFA,5
���🇳,5
�����,5
お願い,5
見,5
られ,5
す,5
こわ,5
勝て,5
ず,5
勝,5
最悪,5
実況,5
ナイス,5
以上,5
です,5
思う,5
変え,5
぀,5
大,5
早,5
回せ,5
残り,5
言っ,5
中盤,5
5,5
そ,5
んで,5
酒井,5
みたい,5
終わり,5
ス,4
過,4
ベドナレク,4
こちら,4
大会,4
