#,35
。,17
の,16
、,13
は,12
daihyo,11
",",10
ない,10
が,9
0,8
で,8
た,8
て,7
と,7
ポーランド,7
だ,7
か,6
し,6
…,6
な,6
感じ,5
も,5
日本,5
.,5
を,5
ワールドカップ,4
前半,4
https,4
://,4
t,4
co,4
/,4
ね,4
に,4
から,3
JPN,3
終了,3
-,3
WorldCup,3
全然,3
けど,3
チャンス,3
弱い,3
,2
へ,2
高い,2
動き,2
攻撃,2
い,2
POL,2
jfa,2
2018,2
思っ,2
わ,2
JPNPOL,2
相手,2
的,2
仕事,2
でき,2
正直,2
この,2
う,2
W,2
杯,2
代表,2
上げ,2
1,2
！,2
V,2
速報,2
今日,1
川島,1
手のひら,1
返し,1
気温,1
重い,1
やっぱ,1
陣,1
今一つ,1
岡崎,1
溜めれ,1
失点,1
だけ,1
よし,1
という,1
worldcup,1
fujitv,1
現在,1
順位,1
こんな,1
🇯🇵,1
🇸🇳,1
SEN,1
------,1
🇨🇴,1
COL,1
🇵🇱,1
wcUPy,1
5,1
tWpi,1
セネガル,1
vs,1
コロンビア,1
今,1
まし,1
fuji,1
見,1
たら,1
ハリルジャパン,1
wwwww,1
香川,1
違う,1
チーム,1
戦,1
",#",1
Worldcup,1
中盤,1
ボール,1
取ら,1
れ,1
気味,1
でも,1
突破口,1
そのまま,1
レヴァンドフスキ,1
効果,1
たより,1
怖い,1
なかっ,1
予想,1
ミドル,1
だっ,1
少なくとも,1
メンバー,1
－,1
終える,1
こと,1
時点,1
計画,1
とおり,1
だろ,1
あと,1
三,1
枚,1
カード,1
どの,1
よう,1
切る,1
。#,1
こそ,1
少ない,1
もの,1
行く,1
とき,1
パス,1
クオリティ,1
にとって,1
不足,1
なし,1
さて,1
明日,1
寝,1
たい,1
まま,1
見よ,1
迷い,1
眠い,1
ミス,1
つい,1
カウンター,1
あっ,1
ものの,1
前線,1
乏しく,1
スピード,1
出,1
ため,1
散発,1
留まっ,1
印象,1
暑,1
さ,1
ある,1
ので,1
常に,1
ギア,1
っぱなし,1
無理,1
どこ,1
ペース,1
得点,1
匂い,1
suLOVS,1
wQw,1
ハッキリ,1
言う,1
くそ,1
雑魚,1
wwwwwwwwwwww,1
んで,1
こんなに,1
わから,1
くらい,1
韓国,1
より,1
めっちゃ,1
暑い,1
やん,1
これ,1
ピッチ,1
内,1
大変,1
FIFA,1
aIj,1
6,1
x,1
7,1
zt,1
",＼#",1
ロシア,1
中,1
📢,1
／,1
とも,1
ゴール,1
前,1
迎え,1
一進一退,1
時間,1
続く,1
しかし,1
フィニッシュ,1
精度,1
両,1
GK,1
好守,1
により,1
スコア,1
レス,1
後半,1
(,1
)#,1
こちら,1
👇,1
8,1
yciK,1
2,1
U,1
29,1
